voicetype,voicefile,transcript
dlc02malechinese1,anchorage.esm\dlc02malechinese1\dlc02oa4_greeting_00002979_1.ogg,You fool! You will be crushed by the might of the Chinese Army!
dlc02malegeneric1,anchorage.esm\dlc02malegeneric1\dlc02convo_outcasttalk3_00002dd9_1.ogg,"Oh, not again! You've got to shake this stuff off. Get your head clear. You're an Outcast, now, just like the rest of us. Deal with it already. Okay?"
dlc02malegeneric2,anchorage.esm\dlc02malegeneric2\dlc02convo_outcasttalk3_00002dd9_1.ogg,"Oh, not again! You've got to shake this stuff off. Get your head clear. You're an Outcast, now, just like the rest of us. Deal with it already. Okay?"
dlc02malegeneric3,anchorage.esm\dlc02malegeneric3\dlc02convo_outcasttalk3_00002dd9_1.ogg,"Oh, not again! You've got to shake this stuff off. Get your head clear. You're an Outcast, now, just like the rest of us. Deal with it already. Okay?"
dlc02maleuniquegeneralchase,anchorage.esm\dlc02maleuniquegeneralchase\dlc02voice_dlc02voicestalk_0000c050_1.ogg,"Well you tell them that if they want their viable liberation contingency ready in case Operation: Anchorage fails, they need to get off their asses!"
dlc02maleuniquemcgraw,anchorage.esm\dlc02maleuniquemcgraw\dlc02oa1_dlc02oa1mcgrawhow_00002d84_6.ogg,"Records indicate there's some high-value tech in this base, but we can't get to it. The armory is sealed by a blast door, and we can't get it open."
dlc02maleuniquemontgomery,anchorage.esm\dlc02maleuniquemontgomery\dlc02oa2_dlc02oa2monttalk0_00004361_1.ogg,That was a hell of a nasty fall you took. When your chute bunched up like that I thought you were a goner. I hope the other guys made it...
dlc02maleuniquesibley,anchorage.esm\dlc02maleuniquesibley\dlc02oa1_dlc02oa1sibleymor_0000437b_1.ogg,[SUCCEEDED] What's going on is this whole mission is one big rat-fuck. We've been stuck here for way too long with no results.
dlc03femaleuniquemargot,brokensteel.esm\dlc03femaleuniquemargot\dlc03bs3_dlc03bs3tlmargots_00006f88_2.ogg,"As for my primary function, I will continue to execute its instructions for as long as necessary or until I am no longer able to carry out this task."
dlc03femaleuniquevallincourt,brokensteel.esm\dlc03femaleuniquevallincourt\dlc03bs2_dlc03bs2tlvallinc_00007b4f_2.ogg,"I don't know how much this will actually help... I mean, I'm not quite sure how effective it might be since it hasn't really been field tested..."
dlc03maleuniquetristan,brokensteel.esm\dlc03maleuniquetristan\dlc03bs00_dlc03transitiont_00008b21_1.ogg,"What the hell happened in here... Oh, man... We've got people down in here! You, check that equipment! The two of you, over here - help me get them.."
dlc03uniquebigsley,brokensteel.esm\dlc03uniquebigsley\dlc03wq_dlc03wqbigsleyscri_00003790_1.ogg,"Those weapons were to go to Rivet City. But, whatever. A rifle, grenade or two. But only if they agree to take a shipment -immediately!- to Big Town."
dlc04femalenormal,pointlookout.esm\dlc04femalenormal\dlc04ff03_dlc04margaboutyo_00003f5b_1.ogg,"Nothing you can catch, if that's what you were wondering. Marsh folk catch it all the time. Lucky my family has a special still pot for tonic-makin'."
dlc04femaletribal,pointlookout.esm\dlc04femaletribal\dlc04gener_dlc04aboutmansi_0000a83d_1.ogg,"Jackson said he saw its destruction in a vision. There were some concerns, but when the leader says it's a mandate from beyond, you don't ask why."
dlc04malechild,pointlookout.esm\dlc04malechild\dlc04ff04_dlc04ff04mineher_00008139_2.ogg,"He was a mean old man, owned this mine a million years ago. Made the miners work real hard and didn't give them any money or food for their kin."
dlc04malenormal,pointlookout.esm\dlc04malenormal\dlc04ff02_dlc04obamarcella_0000e20a_1.ogg,"Forgive my indiscretion. Still, with her death I see no reason for you to keep hold of that book. For all you know, the same fate may befall you."
dlc04maletribalfriendly,pointlookout.esm\dlc04maletribalfriendly\dlc04mq02_dlc04tribalentry_00009266_2.ogg,"Venture west to the great bog, and within you shall find the mother of all Punga Fruit. She stands taller than a man, and her vines guide our future."
dlc04maletribalgruff,pointlookout.esm\dlc04maletribalgruff\dlc04gener_dlc04croatoa1a_0000f3aa_3.ogg,"[SUCCEEDED] I do not know if this is a secret, but I have always used this shovel. It has seen much work, and much dirt."
dlc04maleyokellarge,pointlookout.esm\dlc04maleyokellarge\dlc04gener_normaltocombat_0000d8bf_1.ogg,"Come at me, and you'll draw back a nub!"
dlc04maleyokelmedium,pointlookout.esm\dlc04maleyokelmedium\dlc04gener_normaltocombat_0000d8bf_1.ogg,"Come at me, and you'll draw back a nub!"
dlc04maleyokelsmall,pointlookout.esm\dlc04maleyokelsmall\dlc04gener_normaltocombat_0000d8bf_1.ogg,"Come at me, and you'll draw back a nub!"
dlc04robotvoice,pointlookout.esm\dlc04robotvoice\dlc04ff05_dlc04ff05protpro_00007325_1.ogg,"Please step inside, agent. Extraction details can be found on the terminal inside."
dlc04uniquedesmond,pointlookout.esm\dlc04uniquedesmond\dlc04mq04_dlc04mq01desmond_00008493_4.ogg,"They even had a top candiate for president, until that scandal with the dog forced him to drop out of the race. I was particularly proud of that one."
dlc04uniquethebrain,pointlookout.esm\dlc04uniquethebrain\dlc04mq03_greeting_0000ae42_1.ogg,"So, you're the mouse that was scurrying around here? Not much to look at, but at least you're not drooling all over yourself. I can work with that."
dlc04uniquetobar,pointlookout.esm\dlc04uniquetobar\dlc04mq01_dlc04tobargreeti_0000b5de_3.ogg,"But keep your wits about you, because there's more than a few exotic critters and inhospitable locals. So stay here if you're too dainty to rough it!"
dlc05npcfemalegeneric1,zeta.esm\dlc05npcfemalegeneric1\dlc05gener_dlc05captivehol_0000a97f_6.ogg,"I said to SHUT UP! <slap>... I'm... I'm sorry I did that. Please, forgive me. But we need to keep our heads on straight if we're going to survive."
dlc05npcmalegeneric1,zeta.esm\dlc05npcmalegeneric1\dlc05gener_dlc05captivehol_00009a05_9.ogg,But this is not Heaven. And my captors are not angels. I am not entirely unconvinced that the scripture is wrong. That Heaven and Hell are reversed.
dlc05npcmalegeneric2,zeta.esm\dlc05npcmalegeneric2\dlc05gener_dlc05captivehol_0000aa33_5.ogg,"AGH! Stop it! I am a U.S. Senator and I warn you... if any harm comes to me, you'll bring the full wrath of the U.S. Military upon yourselves!"
dlc05npcmalegeneric3,zeta.esm\dlc05npcmalegeneric3\dlc05gener_dlc05astronauth_0000a885_4.ogg,"Our nation has been conducting manned spaceflight tests... I'm sorry, you'll have to forgive me. Frankly we never expect to meet you all!"
dlc05npcuniquepaulson,zeta.esm\dlc05npcuniquepaulson\dlc05conve_dlc05convpaulso_00005403_1.ogg,"You know, for a little lady, you're pretty smart. I just hope you were smart enough to pick the right horse when you broke this stranger out."
dlc05npcuniquesally,zeta.esm\dlc05npcuniquesally\dlc05mz2_dlc05mz2tlsamurai_00007a69_1.ogg,"Ummm, I think he's from the earth's past. There are people frozen all over the ship that the aliens grabbed wearing funny old time clothes and stuff."
dlc05npcuniquesamurai,zeta.esm\dlc05npcuniquesamurai\dlc05samur_greeting_00007e16_1.ogg,"Hajimari ni ketsumatu wo mi, ketsumatsu ni hajimari wo miru. Soremade wa dojite wa naran."
dlc05npcuniquesomah,zeta.esm\dlc05npcuniquesomah\dlc05mz2_dlc05mz2somahback_0000abee_2.ogg,"All right, listen. Not that it's any of your damn business, but yeah. Before I got sucked up into this crazy alien land here, I pulled some shady stuff."
dlc05npcuniquetercorien,zeta.esm\dlc05npcuniquetercorien\dlc05cryoq_dlc05cryoelliot_00006c04_2.ogg,"If I revive them maybe they could help us. I'm not sure they'll last very long, but if we leave them... you saw what the aliens did to the others..."
femaleadult01default,falloutnv.esm\femaleadult01default\vgenericre_vdialoguethestr_00175110_1.ogg,"{A little uncertain and scared of the player}Uhh, hey. Welcome to Red Rock Canyon. You've seemed a little bipolar lately - maybe you're having withdrawal symptoms?"
femaleadult01defaultdc,fallout3.esm\femaleadult01defaultdc\convmegato_megatonsettlert_0001762e_1.ogg,"I don't like to spread rumors, but I heard Mister Burke is really interested in the bomb. Really interested. Like... he wants to buy it or something."
femaleadult02,falloutnv.esm\femaleadult02\vfreeformthefort_greeting_0015439f_1.ogg,"{Female PC - surprise, tinged with envy}A free woman. It's... been awhile since I've seen a woman who wasn't a slave. {""forget"" as in she's a slave who's forgotten her position, and shouldn't be rambling}I forget myself - are you injured?"
femaleadult02dc,brokensteel.esm\femaleadult02dc\dlc03wq03_dlc03stopapostle_000071e5_1.ogg,"[SUCCEEDED] Is that truly what it looks like to others? We only mean to tend to the ill and offer them salvation before they pass - we're saviors, not murderers!"
femaleadult03,falloutnv.esm\femaleadult03\vmojavegho_vmojaveghostvmo_0015e5f3_1.ogg,"{Studying player}Hnh. Maybe Jackson got some additional soldiers after all. {Positive eval, player's not jaded}Didn't take you for a trooper at first, you seem a little... livelier than most."
femaleadult04,falloutnv.esm\femaleadult04\vfreeforms_vfreeformsloanq_00140693_1.ogg,"{slightly excited, has a passion for cooking exotic recipes}I've got this recipe for a Deathclaw Omelet that I've been itching to try out. Trouble is - I need a Deathclaw egg. Kinda obvious, I suppose."
femaleadult04dc,fallout3.esm\femaleadult04dc\dialoguere_rdtourguidetalk_00032d3f_1.ogg,"To my far right is the baby carriage that our great leader slept in as a newborn baby. Unlike most babies, he never cried and his poop didn't stink."
femaleadult05,falloutnv.esm\femaleadult05\vmojave_greeting_00163d06_1.ogg,"{Bad person just walked in}Got some nerve, coming to an NCR outpost with that look about you. {Low, warning}Hope you aren't here to trade, not sure you can afford the prices."
femaleadult06,falloutnv.esm\femaleadult06\vfreeforms_melissacaesar_0014464d_1.ogg,"You can ask, but why would I do that? Karl's told me all about life in the Legion! He says I've got all the makings of a {SPECK-you-la-tore-ay; over-enunciate like she's not familiar with the word}speculatore."
femaleadult07,falloutnv.esm\femaleadult07\vfreeformfreeside_greeting_00156a65_1.ogg,"{Cheery}People are saying the Securitrons are acting funny. {Cold}I hope that old Geezer, House, is dead. Might give the locals a chance to take control."
femaleadult08,falloutnv.esm\femaleadult08\vgenericre_vdialoguethestr_00175110_1.ogg,"{A little uncertain and scared of the player}Uhh, hey. Welcome to Red Rock Canyon. You've seemed a little bipolar lately - maybe you're having withdrawal symptoms?"
femaleadult09,falloutnv.esm\femaleadult09\vgenericre_vdialoguethestr_00175110_1.ogg,"{A little uncertain and scared of the player}Uhh, hey. Welcome to Red Rock Canyon. You've seemed a little bipolar lately - maybe you're having withdrawal symptoms?"
femaleadult10,falloutnv.esm\femaleadult10\vdialoguethetops_greeting_0014cd47_1.ogg,"{Neutral - doesn't care that the player killed the President, but impressed that the player walked into a casino full of people who do}Ain't you the cat that tried to ice the President? Gutsy, baby, showing your face in here."
femaleadult11,falloutnv.esm\femaleadult11\vfreeformfreeside_greeting_00158904_1.ogg,"So the great {Kai-zar}Caesar is dead. Happy news, but I don't know that it'll make things safer. The rest of his goons may be even worse once they take power."
femaleadult12,falloutnv.esm\femaleadult12\vfreeformm_vfreeformmccarr_0015e452_2.ogg,You can tell the Lieutenant that I finally caved. I'll... {grudgingly}get help. There's a Doctor Usanagi who's supposed to be good at this sort of thing.
femalechild01,falloutnv.esm\femalechild01\vdialoguem_greeting_0015a452_1.ogg,"The NCR's top Ranger, Chief Hanlon, put a gun in his mouth. Think he would've done that if the NCR stood a chance at beating the Legion?"
femalechild01dc,fallout3.esm\femalechild01dc\dialogueli_llknockjokes2b_0003c047_1.ogg,[FAILED] You don't have to lie to make me feel better. I know it's a dumb joke. We don't really tell them to laugh with them - more to laugh at them.
femalechild02,falloutnv.esm\femalechild02\vdialoguelily_radiohello_0015f9b3_1.ogg,"{burst of static cuts in to child's voice}Grandma's here! Grandma's here!{Sounds of excitement, like two small children mobbing grandma at the door}"
femalegenericghoul,falloutnv.esm\femalegenericghoul\vfreeformf_vfreeformfreesi_00124aa5_2.ogg,They're worried the filthy drunkies in detox seeing me drink will cause an immediate relapse. I say their rehab effort here is just a revolving door.
femalegenericghouldc,fallout3.esm\femalegenericghouldc\convunderw_underworldtalkc_00032b92_1.ogg,I was saying that you need to get some rest. You're falling asleep up here. You never sleep through a whole night anymore. I hear you getting up.
femaleghoul02,falloutnv.esm\femaleghoul02\vfreeformv_vfreeformvault2_000f43f8_3.ogg,"I've pumped the vault full of a highly flammable gas that, once ignited, should destroy the vast majority of the spores. There's one problem, though."
femalegroupenclavedc,fallout3.esm\femalegroupenclavedc\mq09_greeting_0004b141_1.ogg,"If you're supposed to be meeting the President, then go do it. Get away from me."
femalegroupraiderdc,fallout3.esm\femalegroupraiderdc\genericrai_raidertalkupnor_00028d43_1.ogg,"One of 'em came back last night, screamin' about claws and fangs and shit. He said they ran into a bunch of monsters a few miles north of the city."
femaleold01,falloutnv.esm\femaleold01\vdialoguer_vdialogueremnan_0015c16d_3.ogg,"{more sober, slightly defensive}Some of the things we did were questionable, I know. That's just how it was back then. Figure I've done enough good to make up for any sins, anyhow."
femaleold01dc,fallout3.esm\femaleold01dc\convmegato_megatonsettlert_0001762e_1.ogg,"I don't like to spread rumors, but I heard Mister Burke is really interested in the bomb. Really interested. Like... he wants to buy it or something."
femaleold02,falloutnv.esm\femaleold02\vdialoguen_alicemcbridepeo_000ccfbf_1.ogg,"Oh, we keep to ourselves, for the most part. Try not to pry. I think Jeannie May gets bothered that we aren't more sociable, but it's just our way."
femaleold03,falloutnv.esm\femaleold03\vdialoguec_vdialoguecrimso_0014e2dc_1.ogg,"Most merchant companies - {correcting herself, emphasizes ""successful""}successful merchant companies, rather - have them. It can be inconvenient to replace employees on short notice."
femaleuniqueamata,fallout3.esm\femaleuniqueamata\ms16radiov_radio101distres_0008350f_1.ogg,"Things got worse after you left. My father's gone mad with power. If you can hear this, please stop looking for your dad and help stop mine."
femaleuniquebetty,fallout3.esm\femaleuniquebetty\mq04_greeting_000289b2_1.ogg,"You don't want to play with me. So I don't want to talk to you, and you're never going to find your daddy. Boo hoo hoo."
femaleuniquecass,falloutnv.esm\femaleuniquecass\vending_vendingcass_0015d98a_1.ogg,"{Narrating Her Own Ending}Cass lived to see the Courier bring down three armies and by her count, that was three more than she'd expected. {Beat, a little quieter}She'd kept quiet about that, though."
femaleuniquedrli,fallout3.esm\femaleuniquedrli\mq05conver_mq05ligarzabuff_0001e870_1.ogg,"I... Yes, well. If we weren't in danger right now, I'd suggest something different. But this should see you through for the time being."
femaleuniquemoira,fallout3.esm\femaleuniquemoira\ms03_ms03tasklie_0004ba3f_2.ogg,"Either you weren't looking hard enough, or you didn't really go at all. Either way, I'm going to have to insist you go back again, alright?"
femaleuniquemom,fallout3.esm\femaleuniquemom\cg00_cg00momspeech_0005edd8_1.ogg,Oh... Oh James... We did it... A daughter... Our beautiful daughter...
femaleuniquemoore,falloutnv.esm\femaleuniquemoore\vfreeformh_vfreeformhoover_00136dc0_1.ogg,"{Player talked Khans into helping}No, just because you secured the aid of the Khans, {said under her breath}assuming they don't try to kill us, don't think the Brotherhood will be so easily swayed."
femaleuniquesarah,fallout3.esm\femaleuniquesarah\convcitade_cittalkshortgen_000ba734_1.ogg,"There's been another Behemoth sighted in the Wasteland, in the Evergreen Mills region. That's heavy Raider country, so things could get interesting."
femaleuniquesparkle,fallout3.esm\femaleuniquesparkle\freeformdc_greeting_0005212d_1.ogg,"Watch out, there's a 'Guai den to the north. I'd steer clear of it if I were you."
femaleuniqueveronica,falloutnv.esm\femaleuniqueveronica\vdialoguev_vdialogueveroni_0015edd0_1.ogg,"{Surprise, player found someone she thought was dead}You did? Where? Oh my God, I mean... I thought... I don't even know what I thought might have happened to him."
ghouluniqueraul,falloutnv.esm\ghouluniqueraul\vdialoguer_vdialogueraulra_0015d490_1.ogg,"She went out to find some food one day. {digressing, maybe justifying to himself a little}I was sick, so I stayed at our camp. I guess it must have been the beginnings of radiation poisoning."
maleadult01default,falloutnv.esm\maleadult01default\vfreeformt_vfreeformthefor_00154387_2.ogg,"{Still thinking back}Dogs roamed that city. Our tribe made peace with them. {Scoffs, trying to dismiss painful memory}Thought they were our spirit animals - helped us hunt, provided for us in some lean times."
maleadult01defaultb,falloutnv.esm\maleadult01defaultb\vms02_greeting_000d7f24_1.ogg,{Player not in Powder Ganger gear}{part of an act - he's not really a merchant and trying to see if the player is really a Powder Ganger}Better be careful around these parts. I hear there's Powder Gangers around and dangerous for merchants like me.
maleadult01defaultbdc,fallout3.esm\maleadult01defaultbdc\ms09_ms09vanceendgamect08s_0009a2b3_1.ogg,"[FAILED] In light of your candor, all I can promise is that Arefu will no longer be a target of the Family. Beyond that, I make no such other promises."
maleadult01defaultdc,fallout3.esm\maleadult01defaultdc\ms03_ms03rchistory2b_0006b251_1.ogg,"[FAILED] That's just a technicality, really. This wasn't what you'd call a ""settlement"" until I whipped them all into shape. More of a ""camp,"" really."
maleadult02,falloutnv.esm\maleadult02\vms29a_vfspacergreetssimon_001598ae_1.ogg,"{mood gets darker, Simon doesn't like Pacer talking about Gloria}You know she is. {This is a threat, Pacer's dead if he goes inside}Why don't you go in and say hi?"
maleadult02dc,fallout3.esm\maleadult02dc\dialoguete_dialoguetenpenn_00045334_1.ogg,"That's kind of you, Ms. Primrose. But it's better if they don't cozy up with the residents. Helps retain discipline and remind them why they're here."
maleadult03,falloutnv.esm\maleadult03\vmqtops_greeting_001650fd_1.ogg,"{greets player after Benny killed or fled, accompanied by a Victor or House Securitron whose face screen then blinks over to the default}You got friends in high places, kid! According to this heap of bolts here, Mr. House don't want you touched."
maleadult04,falloutnv.esm\maleadult04\vfreeformc_vfreeformcotton_0013a2a8_1.ogg,"{a ridiculous question, but it's your duty to be polite}Women are physically and intellectually inferior to men. Their role is to bear children and ensure the survival of our species."
maleadult04dc,fallout3.esm\maleadult04dc\convmegaton_megatontalk2_000042a6_1.ogg,"Well, I was thinkin', Sweetie Pie... Sometime soon, we should take a trip. Just you and me. Maybe visit Rivet City or somethin'. Would you like that?"
maleadult05,falloutnv.esm\maleadult05\vmojave_vmojavevmomajorkni_0015d3ce_1.ogg,"{Frowns}I'd like to help - {beat, hates this}but we can't spare any more units. {Reciting the official line, even though he hates it}We have to maintain a minimum headcount at the Outpost, orders from the West."
maleadult05dc,fallout3.esm\maleadult05dc\convcitade_cittalkshortgen_000ba734_1.ogg,"There's been another Behemoth sighted in the Wasteland, in the Evergreen Mills region. That's heavy Raider country, so things could get interesting."
maleadult06,falloutnv.esm\maleadult06\vms45_vms45vrrckarltopic00_0014b579_1.ogg,"Though they have been cruelly oppressed by the NCR, the Khans remain great warriors. {Choking on this a little; he's lying and it galls him}The Legion is honored to have such allies in battle."
maleadult06dc,fallout3.esm\maleadult06dc\convcitade_cittalkshortgen_000ba734_1.ogg,"There's been another Behemoth sighted in the Wasteland, in the Evergreen Mills region. That's heavy Raider country, so things could get interesting."
maleadult07,falloutnv.esm\maleadult07\vms45_vms45vrrcezekieltopi_00148c1f_2.ogg,"Here, I salvaged this book from an old library. It's a history of a people called the {over-enunciate, like it's unfamiliar}Mongols. I think that's what the Khans built their culture on."
maleadult08,falloutnv.esm\maleadult08\vdialogueh_greeting_000e4b65_1.ogg,"{Ramos dialogue if player sneaks into the bunker}{Angry, an intruder managed to get past his security}How the hell did you get in here? Normally, I would have already shot you, but I'm under orders to bring you to the Elder. Will you come peacefully?"
maleadult09,falloutnv.esm\maleadult09\vcasinocom_greeting_001602fd_1.ogg,"{Whale}You are quite simply the talk of the casino right now with your astonishing play. Do stay in our {BONE veev-ONT, light French 'n' for Bon}Bon Vivant suite so you may continue to dazzle us."
maleadult10,falloutnv.esm\maleadult10\vms19_vms19vfsoffdutyncrba_0015bc32_1.ogg,"Hey, wait up a moment. I can tell you're really upset that you didn't pass the test, so I'll let you take it again any time you want to come back."
maleadult11,falloutnv.esm\maleadult11\nvprimmdep_nvprimmdeputyco_001618bd_2.ogg,"I was sku{skulking, rethinking}... er, performing recon, gathering information on some of the Powder Gangers, when some great Khans arrived with your friend in the suit."
maleadult12,falloutnv.esm\maleadult12\vdialoguew_vdialoguevegasw_000f9893_3.ogg,"It's a pretty dull place, but I hear there was a bit of excitement when this tribal from Arroyo came to town years back. All before my time, though."
malechild01,falloutnv.esm\malechild01\vfreeform1_188claythoughts_000ea284_4.ogg,"{A little slower, more thoughtful}Your face does the thinking - two to the skull, yet one gets up. Odds are against you... but they're just numbers after the two-to-one."
malechild01dc,fallout3.esm\malechild01dc\dialogueli_lljosephhistory_0003a1cd_1.ogg,"And there's only one rule we have to follow: we have to leave before we become grown-ups. That way, we don't risk destroying our world like they did."
malechild02,falloutnv.esm\malechild02\vending_vendingboomers_001614b3_2.ogg,"{Narrating}Over time, as the Boomers found a need for gun powder, they developed a relationship with the Gun Runners, trading their surplus crops for munitions."
malegenericghoul,falloutnv.esm\malegenericghoul\vmstopstal_vmstopstalentpo_001202f7_1.ogg,Whoa Nelly! There's insult comedy and then there's psycho comedy! I guess you aren't the heckler Garret hired to spice up my show. What do you want?
malegenericghouldc,brokensteel.esm\malegenericghouldc\dlc03wq02_dlc03wq02greetin_0000b02c_3.ogg,"Here you go, ma'am. Your FREE bottle! Step right up in the next 5 minutes, and get your VERY OWN bottle of the Amazing Aqua Cura at HALF price! Ladies and gentlemen. Half price!"
maleghoul02,falloutnv.esm\maleghoul02\vdialoguev_bertnephi_000fb8f3_1.ogg,"I never was able to reach him. He has allowed drugs and hatred to consume him. He runs with the Fiends north of here, now. They call him Driver Nephi."
malegroupenclavedc,fallout3.esm\malegroupenclavedc\mq09_mq09officerconv_00039633_1.ogg,"Mr. President, I'm sorry to bother you. This is Lieutenant Williams. I have an unauthorized individual here who's supposed to speak with you."
